date,NonComm_Positions_Long_All,NonComm_Positions_Short_All,net,Open_Interest_All
2017-06-13,34160,84713,-50553,210617
2017-06-20,39498,89457,-49959,171840
2017-06-27,38254,99604,-61350,183705
2017-07-03,43648,118684,-75036,207597
2017-07-11,40778,152903,-112125,239786
2017-07-18,37419,164338,-126919,250071
2017-07-25,28018,149507,-121489,235140
2017-08-01,36445,148641,-112196,242876
2017-08-08,39810,135623,-95813,232827
2017-08-15,43308,120800,-77492,215090
2017-08-22,45162,119248,-74086,215457
2017-08-29,43889,112413,-68524,209890
2017-09-05,47285,120230,-72945,213200
2017-09-12,40642,97939,-57297,200444
2017-09-19,42435,93757,-51322,185352
2017-09-26,42963,114310,-71347,207097
2017-10-03,58770,143413,-84643,246889
2017-10-10,51655,153074,-101419,254124
2017-10-17,55010,156296,-101286,257087
2017-10-24,60077,176934,-116857,282230
2017-10-31,54585,173454,-118869,277706
2017-11-07,54336,182184,-127848,287936
2017-11-14,49347,185346,-135999,283628
2017-11-21,44382,166984,-122602,261019
2017-11-28,39793,150433,-110640,244536
2017-12-05,34766,149033,-114267,238077
2017-12-12,31747,145870,-114123,250581
2017-12-19,36874,151247,-114373,223424
2017-12-26,44269,160355,-116086,232428
2018-01-02,39592,161358,-121766,230564
2018-01-09,37376,162912,-125536,233144
2018-01-16,38152,157502,-119350,236305
2018-01-23,37260,160130,-122870,241136
2018-01-30,47828,162524,-114696,260237
2018-02-06,39108,151984,-112876,249478
2018-02-13,42299,157808,-115509,260170
2018-02-20,45634,153972,-108338,271271
2018-02-27,44539,141190,-96651,263066
2018-03-06,50057,136902,-86845,277327
2018-03-13,44296,123835,-79539,279671
2018-03-20,47902,69901,-21999,160250
2018-03-27,56544,60212,-3668,162038
2018-04-03,48053,44481,3572,148818
2018-04-10,49855,47094,2761,151202
2018-04-17,49433,46842,2591,147319
2018-04-24,59253,58670,583,155237
2018-05-01,57349,58754,-1405,160337
2018-05-08,51812,57274,-5462,157576
2018-05-15,64926,61246,3680,163411
2018-05-22,73836,76603,-2767,175316
2018-05-29,63182,71218,-8036,171339
2018-06-05,52060,55497,-3437,146448
2018-06-12,60609,55557,5052,166877
2018-06-19,46565,82127,-35562,154641
2018-06-26,44430,78651,-34221,153566
2018-07-03,49990,88720,-38730,168360
2018-07-10,60563,100395,-39832,182066
2018-07-17,77021,135671,-58650,215413
2018-07-24,49993,123762,-73769,200427
2018-07-31,48016,116473,-68457,197566
2018-08-07,46136,108943,-62807,187902
2018-08-14,49369,107737,-58368,185834
2018-08-21,54116,101522,-47406,189698
