ym,days,close_eom,ret_m_pct,rv20_max,rv20_mean,max_abs_ret_pct,max_range_pct,sig3_days,vol_spot_mean,vol_band
2018-03,21,106.19,-0.5821612685849923,9.368139333308653,8.405503224071522,1.046932458011333,0.7216494845360787,0,10450.666666666666,
2018-04,20,109.4,2.8839682442390595,7.82885425786493,7.090773643376181,0.904065198232735,0.5799270414367135,0,7177.1,
2018-05,21,108.77,-0.6506323066719446,7.147833358606148,6.15375648946443,0.9770296646182598,0.8636363636363532,0,7061.047619047619,
2018-06,21,110.64,1.3100624045698057,6.962827910725353,6.465432079749005,0.6629457145755997,0.9293849658314315,0,6912.666666666667,
2018-07,21,111.4,0.5942216098362649,8.605895716386202,7.231055767545575,1.3248783892852465,0.6758583400919167,2,6383.190476190476,
2018-08,23,110.81,-1.1752703348353493,8.880108423287734,7.403076776550704,0.8314553096231785,0.5808149559851172,0,6316.695652173913,
2018-09,18,113.44,2.201416827134506,6.346067637938606,5.602491262063599,0.7343541074883178,0.5447887827096539,0,5727.222222222223,
2018-10,22,113.2,-0.7393098275388712,6.098103550538765,5.704025200530538,0.7831311715652804,0.4830053667263026,0,6472.954545454545,
2018-11,21,113.47,0.5036013647281605,5.993183877498418,5.093898105347425,0.5556304809336678,0.7517467055806087,0,6061.380952380952,
2018-12,19,110.4,-2.7428350959902996,5.940512019332029,4.840912197354124,0.9027776399021947,0.7151796888968328,0,7614.315789473684,
2019-01,19,108.73,0.8126372174492823,11.106243968773713,10.661206092912572,2.3368761007829684,0.8623087621696865,1,6774.210526315789,
2019-02,19,110.76,1.6568426347232705,10.249266819114219,5.986949514019521,0.8227489504187295,0.3829670830673855,0,6034.9473684210525,
2019-03,20,110.75,-0.9615026673254177,6.888533027501942,5.943114888267918,0.9524737295737974,0.6306874493197611,0,7247.85,
2019-04,20,111.68,0.5657088673625904,6.231341817236857,5.4877919362434096,0.6817392747857749,0.4381258941344732,0,6692.4,
2019-05,19,108.78,-1.7134943475148927,6.068975454204266,4.876750041995074,0.917520154409873,0.808972237543662,0,7043.315789473684,
2019-06,20,107.64,-0.5651041023894177,6.194767268131831,5.3984811356971205,0.6571967931240803,0.6222139673105513,0,7536.35,
2019-07,22,108.56,0.21208915691376296,6.554417889433438,5.805430390049801,0.8294213985282394,0.48121414029242643,0,5323.045454545455,
2019-08,21,106.52,-2.4390322050221553,10.460733330360188,9.734138721849918,2.0642191725234733,1.466441060349692,1,7324.952380952381,
2019-09,19,107.86,1.4945168886283717,7.414993901644351,5.357279045826552,0.4462218057593667,0.6293382693197526,0,6279.421052631579,
2019-10,21,108.61,0.2396756309576648,5.101097043941545,4.842213245014165,0.6202862085950273,0.6796387673400892,0,5103.809523809524,
2019-11,20,109.5,1.4163761106751738,4.992794108032281,4.7649902475773,0.7658630283187428,0.4313509544787068,0,5599.15,
2019-12,21,109.15,-0.41142915179621065,4.999702575621342,4.542073558370541,0.8979352984009867,0.7479704460457842,1,4664.857142857143,
2020-01,19,109.04,0.8565560083597187,6.239111817181654,5.703027569189949,0.9573855691272901,0.7839881940601312,1,5712.631578947368,
2020-02,18,108.84,0.1931301469386122,8.344504146339766,5.233928615620283,1.4156496278328705,0.8085262771040148,2,6672.444444444444,
